fr_Nhpyrrole,fr_SH,fr_amide,fr_benzene,fr_bicyclic,fr_guanido,fr_imidazole,fr_para_hydroxylation,fr_phenol,fr_sulfide,AvgIpc,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex
0,0,7,1,0,0,0,0,0,0,3.158159889056431,0.5932203389830508,1.084745762711864,1.559322033898305,13.3186567742069,13.3186567742069,-1.795788040193872
0,0,9,1,0,1,0,0,1,0,3.279235155206397,0.5833333333333334,1.027777777777778,1.5,14.03399734689409,14.03399734689409,-1.844358379828466
0,0,6,1,0,0,0,0,0,1,3.088802812786107,0.7450980392156863,1.274509803921569,1.784313725490196,13.76478994563771,13.76478994563771,-1.317812567837508
0,0,11,0,0,1,0,0,0,0,4.094214062229137,0.5662650602409639,1.072289156626506,1.566265060240964,14.02934763754407,14.02934763754407,-1.904690161167262
0,0,10,1,0,1,0,0,0,0,4.305130141054478,0.5853658536585366,1.048780487804878,1.548780487804878,14.78661482779904,14.78661482779904,-1.225982192626058
0,0,5,0,0,0,0,0,0,1,2.96275683474712,0.75,1.272727272727273,1.727272727272727,13.41407240438015,13.41407240438015,-1.171412985708815
0,0,4,0,0,0,0,0,0,1,2.794189609340942,0.8571428571428571,1.428571428571429,1.885714285714286,13.01366848736604,13.01366848736604,-1.150526711008833
0,0,11,1,0,0,0,0,1,0,2.309646103747649,0.5555555555555556,1.033333333333333,1.555555555555556,14.77267282424839,14.77267282424839,-1.966371830522667
1,0,10,0,0,1,1,0,0,0,3.804510464290878,0.6438356164383562,1.164383561643836,1.684931506849315,14.02228284163349,14.02228284163349,-1.809649582379075
1,0,7,0,0,0,1,0,0,0,3.684621858716098,0.6779661016949152,1.203389830508474,1.694915254237288,13.77771582376684,13.77771582376684,-1.577124262471756
1,0,9,1,0,0,1,0,0,0,4.087395066389983,0.6164383561643836,1.123287671232877,1.643835616438356,14.31806850448348,14.31806850448348,-1.390176586796976
0,0,7,0,0,0,0,0,0,0,3.027384713774543,0.6470588235294118,1.176470588235294,1.627450980392157,13.36564021862705,13.36564021862705,-1.775270690944034
0,0,4,1,0,0,0,0,0,0,2.827766747982473,0.8333333333333334,1.444444444444444,1.944444444444444,12.85627897084878,12.85627897084878,-1.401098412620329
0,0,8,0,0,1,0,0,0,0,3.682118352889198,0.7049180327868853,1.245901639344262,1.770491803278688,13.88182426047115,13.88182426047115,-1.8476833305591
0,0,10,1,0,0,0,0,0,0,3.894195567464611,0.620253164556962,1.20253164556962,1.784810126582278,14.37109194620653,14.37109194620653,-1.644300405543231
0,0,5,0,0,0,0,0,0,0,2.961288689028189,0.6222222222222222,1.088888888888889,1.555555555555556,13.34304545234358,13.34304545234358,-1.362289862099981
0,0,6,0,0,0,0,0,0,0,3.067643805257859,0.5660377358490566,1.018867924528302,1.490566037735849,13.48820808688293,13.48820808688293,-1.748639114768078
0,0,8,0,0,0,0,0,0,0,3.235134922057031,0.4705882352941176,0.8970588235294118,1.367647058823529,13.68727321517516,13.68727321517516,-1.748653260858613
0,0,12,0,0,0,0,0,0,0,1.805541590909952,0.4835164835164835,0.967032967032967,1.494505494505495,14.40818093344287,14.40818093344287,-1.817877301314322
1,0,15,3,0,0,1,0,1,0,1.488144020965458,0.4690265486725664,0.8761061946902655,1.327433628318584,14.85110496008722,14.85110496008722,-1.995273456460693
1,0,6,1,0,0,1,0,0,1,4.008734811584234,0.9285714285714286,1.696428571428571,2.339285714285714,14.13931476228164,14.13931476228164,-1.179336797533732
1,0,5,1,0,0,1,0,0,0,3.61899507457815,0.6851851851851852,1.148148148148148,1.592592592592593,13.88042347691924,13.88042347691924,-1.878062634946793
0,0,6,0,0,0,0,0,0,0,3.783023546146543,0.6981132075471698,1.207547169811321,1.69811320754717,13.72363677219923,13.72363677219923,-1.437735362465632
0,0,7,1,0,0,0,0,0,0,3.08975296023928,0.6226415094339622,1.113207547169811,1.60377358490566,13.07235150574938,13.07235150574938,-1.54809847287731
0,0,8,1,0,1,0,0,1,0,3.22951027967806,0.6567164179104478,1.164179104477612,1.671641791044776,13.95092049849261,13.95092049849261,-1.644135773422331
1,0,4,1,0,0,1,0,0,0,3.507122964022857,0.8222222222222222,1.422222222222222,1.955555555555555,13.73335247704836,13.73335247704836,-1.292360667677435
2,0,13,2,0,0,2,0,2,0,1.286939581954765,0.412280701754386,0.7719298245614035,1.192982456140351,14.71411353094232,14.71411353094232,-2.072889208094848
2,0,10,2,0,0,2,0,2,0,1.347766385716155,0.4742268041237113,0.8865979381443299,1.360824742268041,14.6174653344533,14.6174653344533,-2.02490763489251
0,0,9,1,0,0,0,0,0,0,3.351687734319745,0.5584415584415584,1.051948051948052,1.571428571428571,14.09962491488784,14.09962491488784,-1.876735761569208
0,0,9,1,0,1,0,0,1,0,4.11005778623312,0.6666666666666666,1.217948717948718,1.769230769230769,14.73547319932131,14.73547319932131,-1.361792744056158
0,1,15,1,0,1,0,0,0,0,1.585815440146911,0.55,1.01,1.5,14.31430664591535,14.31430664591535,-1.762826618800936
0,0,10,1,0,0,0,0,0,1,3.317658962010504,0.4605263157894737,0.8157894736842105,1.25,14.44616599823725,14.44616599823725,-1.405842308700963
2,0,6,1,0,0,2,0,1,0,3.957471498382065,0.6507936507936508,1.111111111111111,1.555555555555556,14.24903679568587,14.24903679568587,-1.745180863113065
0,0,10,2,0,1,0,0,1,0,3.383501660650383,0.5569620253164557,1.037974683544304,1.582278481012658,13.83829457103789,13.83829457103789,-1.715754266003468
0,0,5,0,0,0,0,0,0,1,3.768996831171537,0.8,1.311111111111111,1.822222222222222,14.02021296262465,14.02021296262465,-1.041444675743558
0,0,9,0,0,0,0,0,0,1,3.900818084989047,0.7166666666666667,1.25,1.766666666666667,13.79702373917653,13.79702373917653,-1.474394908808308
0,0,9,1,0,0,0,0,0,0,3.859565780782019,0.6493506493506493,1.233766233766234,1.792207792207792,13.90521152491573,13.90521152491573,-1.854343483274425
0,0,8,2,0,0,0,0,2,0,3.87535170082477,0.6233766233766234,1.155844155844156,1.688311688311688,14.19117532649236,14.19117532649236,-1.791893015348115
0,0,6,1,0,0,0,0,0,0,3.698111232269528,0.7454545454545455,1.327272727272727,1.890909090909091,13.75773874862332,13.75773874862332,-1.457620600246551
1,1,16,1,0,0,1,0,0,0,1.754451982900153,0.5412844036697247,1.036697247706422,1.568807339449541,14.46936743686672,14.46936743686672,-1.934493820158892
0,0,8,2,0,0,0,0,0,0,3.966403334669671,0.6153846153846154,1.092307692307692,1.584615384615385,14.47847099818988,14.47847099818988,-1.343267570087532
